CÓDIGO ,CALLE ,NÚMERO ,LOCALIDAD ,PROVINCIA ,HORARIOS 
WDJ,MONTENEGRO RUPERTO,850,SAN ROQUE,CORRIENTES,LUN A VIE 07.00 A 13.30
WDB,COLON CRISTOBAL,204,SANTA LUCIA,CORRIENTES,LUN A VIE 07.00 A 13.30
WEM,BAIGORRIA S/N,                              ,EST SOLARI,CORRIENTES,LUN A VIE 07.00 A 13.30
WBC,SUSSINI FRANCISCO,595,ALVEAR,CORRIENTES,LUN A VIE 07.00 A 13.30
GRZ,MITRE BARTOLOME,1,COLONIA LIEBIGS,CORRIENTES,LUN A VIE 07.00 A 13.30
NDM,SAN MARTIN,0,GARRUCHOS,CORRIENTES,LUN A VIE 08.00 A 12.30
WBA,LAVALLE GENERAL JUAN,2113,GOBERNADOR VIRASORO,CORRIENTES,LUN A VIE 07.00 A 13.30
WBE,COLON,798,LA CRUZ,CORRIENTES,LUN A VIE 07.00 A 13.30
NAF,SAN MARTIN GENERAL JOSE DE,0,SAN CARLOS,CORRIENTES,LUN A VIE 07.00 A 13.30
WAY,BRASIL,805,SANTO TOME,CORRIENTES,LUN A VIE 07.00 A 13.30
WAP,ROMERO OBISPO,302,YAPEYU,CORRIENTES,LUN A VIE 08.00 A 12.30
WAS,SAN MARTIN,0,BONPLAND,CORRIENTES,LUN A VIE 07.00 A 13.30
WAM,SAN MARTIN GENERAL JOSE DE,501,MOCORETA,CORRIENTES,LUN A VIE 07.00 A 13.30
WDY,BELGRANO MANUEL,1251,SAUCE,CORRIENTES,LUN A VIE 07.00 A 13.30
XIB,BUSTOS OBISPO ZENON,1,AGUA DE ORO,CORDOBA,LUN A VIE 08.00 A 13.00
XAI,ALEM LEANDRO NICEFORO,544,ALTOS DE CHIPION,CORDOBA,LUN A VIE 08.00 A 13.00
XAZ,RIVADAVIA PRESIDENTE BERNARDINO,505,ARROYITO,CORDOBA,LUN A VIE 08.00 A 15.00
XJL,CORNEJO TRISTAN,168,BALNEARIA,CORDOBA,LUN A VIE 08.00 A 15.00
XAK,GIAVENO INTENDENTE SABINO,101,BRINKMANN,CORDOBA,LUN A VIE 08.00 A 15.00
XLC,CORRIENTES,165,CAPILLA DEL MONTE,CORDOBA,LUN A VIE 09.00 A 14.00
XMT,ITALIA,50,COLONIA CAROYA,CORDOBA,LUN A VIE 09.00 A 16.00
XOA,ALVEAR PRESIDENTE MARCELO TORCUATO DE,403,CRUZ DEL EJE,CORDOBA,LUN A VIE 08.00 A 15.00
XLW,RIVADAVIA,200,DEAN FUNES,CORDOBA,LUN A VIE 09.00 A 16.00
XIP,FLORIDA,231,DESPEÑADEROS,CORDOBA,LUN A VIE 09.00 A 16.00
XAP,SARMIENTO,449,DEVOTO,CORDOBA,LUN A VIE 08.00 A 15.00
XTD,9 DE JULIO,353,EL ARAÑADO,CORDOBA,LUN A VIE 08.00 A 13.00
XAX,25 DE MAYO,631,EL TIO,CORDOBA,LUN A VIE 08.00 A 13.00
XTZ,25 DE MAYO,100,ESTACION CALCHIN,CORDOBA,LUN A VIE 08.00 A 13.00
XAE,SAN MARTIN GENERAL JOSE DE,790,FREYRE,CORDOBA,LUN A VIE 08.00 A 15.00
XPY,RIVADAVIA PRESIDENTE BERNARDINO,1,LA PAZ,CORDOBA,LUN A VIE 08.00 A 13.00
XJV,SAN MARTIN,209,LA CALERA,CORDOBA,LUN A VIE 08.00 A 15.00
XSD,COLON,60,LA CUMBRE,CORDOBA,LUN A VIE 09.00 A 16.00
XAW,LENCINAS PASCUAL,255,LA FRANCIA,CORDOBA,LUN A VIE 08.00 A 15.00
XIJ,LOS FRESNOS,0,LA GRANJA,CORDOBA,LUN A VIE 08.00 A 13.00
XJH,SAN MARTIN GENERAL JOSE DE,897,LA PARA,CORDOBA,LUN A VIE 08.00 A 15.00
XIM,LOS ALPES,500,LA PUERTA,CORDOBA,MAR Y JUE 08.00 A 13.00
XUE,LIBERTAD,44,LAGUNA LARGA,CORDOBA,LUN A VIE 09.00 A 16.00
XNJ,CARRANZA MARTINEZ,246,LAS PEÑAS,CORDOBA,LUN A VIE 08.00 A 13.00
XSW,BALDRICH,51,LAS VARILLAS,CORDOBA,LUN A VIE 08.00 A 15.00
XTX,CHACABUCO,758,LUQUE,CORDOBA,LUN A VIE 08.00 A 13.00
XQE,SAN MARTIN,707,MINA CLAVERO,CORDOBA,LUN A VIE 08.00 A 15.00
XJJ,SARMIENTO DOMINGO FAUSTINO,283,MARULL,CORDOBA,LUN A VIE 08.00 A 13.00
XIT,NEMIROVSKY INTENDENTE,223,MONTE CRISTO,CORDOBA,LUN A VIE 08.00 A 13.00
XAM,ESPAÑA,964,MORTEROS,CORDOBA,LUN A VIE 08.00 A 15.00
XMV,BELGRANO GENERAL MANUEL,802,OBISPO TREJO,CORDOBA,LUN A VIE 08.00 A 13.00
XUC,9 DE JULIO,112,PILAR,CORDOBA,LUN A VIE 09.00 A 16.00
XAG,25 DE MAYO,557,PORTEÑA,CORDOBA,LUN A VIE 08.00 A 14.00
XRL,BELGRANO DOCTOR MANUEL,1,POZO DEL MOLLE,CORDOBA,LUN A VIE 09.00 A 16.00
XML,SARMIENTO DOMINGO FAUSTINO,63,QUILINO,CORDOBA,LUN A VIE 08.00 A 13.00
XIF,SAN MARTIN,4444,RIO CEBALLOS,CORDOBA,LUN A VIE 09.00 A 16.00
XIW,MOSCATI INTENDENTE ANTONIO,43,RIO PRIMERO,CORDOBA,LUN A VIE 08.00 A 15.00
XOP,EJERCITO ARGENTINO,305,SALSACATE,CORDOBA,VIERNES 08.00 A 13.00 / LUN Y MIER 08.00 A 13.00
XTB,BELGRANO DOCTOR MANUEL,499,SACANTA,CORDOBA,LUN A VIE 08.00 A 15.00
XOL,SAN MARTIN GENERAL JOSE DE,230,SAN CARLOS MINAS,CORDOBA,LUN A VIE 08.00 A 13.00
XNP,SAN MARTIN,533,SAN JOSE DE LA DORMIDA,CORDOBA,LUN A VIE 08.00 A 14.00
XJC,9 DE JULIO,650,SANTA ROSA DE RIO PRIMERO,CORDOBA,LUN A VIE 08.00 A 15.00
XKY,LUGONES LEOPOLDO,1105,SANTIAGO TEMPLE,CORDOBA,MAR Y JUE 08.00 A 13.00
XNV,PAZ GENERAL JOSE MARIA,152,SERREZUELA,CORDOBA,LUN A VIE 08.00 A 13.00
XJZ,SAN MARTIN,314,TANTI,CORDOBA,LUN A VIE 08.00 A 15.00
XBB,LOPEZ MARTI,111,TRANSITO,CORDOBA,VIERNES 08.00 A 13.00 / LUN Y MIER 08.00 A 13.00
XAY,PAZ GENERAL,495,VILLA CONCEPCION DEL TIO,CORDOBA,LUN A VIE 08.00 A 13.00
XNT,9 DE JULIO,46,VILLA DE MARIA,CORDOBA,LUN A VIE 08.00 A 13.00
XOE,SAN MARTIN GENERAL JOSE DE,505,VILLA DE SOTO,CORDOBA,LUN A VIE 08.00 A 14.00
XTT,FERREYRA OBISPO,905,VILLA DEL ROSARIO,CORDOBA,LUN A VIE 08.00 A 15.00
XNH,MOYANO DIOGENES,745,VILLA DEL TOTORAL,CORDOBA,LUN A VIE 08.00 A 15.00
XMG,ALBERDI,0,SAN FRANCISCO DEL CHAÑAR,CORDOBA,LUN A VIE 08.00 A 13.00
XH0,RAMIREZ GENERAL FRANCISCO,518,MALAGUEÑO,CORDOBA,LUN A VIE 08.00 A 13.00
OQV,SARMIENTO DOMINGO FAUSTINO,151,ACHIRAS,CORDOBA,LUN A VIE 08.00 A 13.00
ORC,SAN MARTIN GENERAL JOSE DE,178,ADELIA MARIA,CORDOBA,LUN A VIE 09.00 A 16.00
OBF,VELEZ SARSFIELD DOCTOR DALMACIO,110,ALEJANDRO ROCA,CORDOBA,LUN A VIE 09.00 A 16.00
OAV,SARMIENTO,698,ALEJO LEDESMA,CORDOBA,LUN A VIE 09.00 A 16.00
OAA,SAN MARTIN GENERAL JOSE DE,1053,ARIAS,CORDOBA,LUN A VIE 09.00 A 16.00
XOY,MOLINA PEDRO C,1100,ALMAFUERTE,CORDOBA,LUN A VIE 09.00 A 16.00
XBX,ARGENTINA REPUBLICA,107,BALLESTEROS,CORDOBA,LUN A VIE 09.00 A 16.00
OQH,ESQUIU FRAY MAMERTO,110,BERROTARAN,CORDOBA,LUN A VIE 09.00 A 16.00
XCB,BELGRANO GENERAL MANUEL,945,CAMILO ALDAO,CORDOBA,LUN A VIE 09.00 A 16.00
OAJ,VELEZ SARSFIELD,99,CANALS,CORDOBA,LUN A VIE 09.00 A 16.00
OBA,14,235,CHAZON,CORDOBA,LUN A VIE 08.00 A 13.00
ORG,URUGUAY,198,CORONEL MOLDES,CORDOBA,LUN A VIE 09.00 A 16.00
OAD,CORDOBA,470,CORRAL DE BUSTOS,CORDOBA,LUN A VIE 09.00 A 16.00
XAA,COLOCCINI ANGEL,840,CRUZ ALTA,CORDOBA,LUN A VIE 09.00 A 16.00
OTA,MORRA DOCTOR DANIEL,137,DEL CAMPILLO,CORDOBA,LUN A VIE 08.00 A 13.00
XPA,TOLTINA CACIQUE,69,EMBALSE,CORDOBA,LUN A VIE 09.00 A 16.00
OQF,CORDOBA,391,ELENA,CORDOBA,MAR Y JUE 08.00 A 13.00
OBD,PELLESCHI PEDRO,470,ETRURIA,CORDOBA,LUN A VIE 08.00 A 13.00
XCA,SAN MARTIN GENERAL JOSE DE,370,GENERAL BALDISSERA,CORDOBA,LUN A VIE 08.00 A 13.00
OPZ,25 DE MAYO,754,GENERAL CABRERA,CORDOBA,LUN A VIE 09.00 A 16.00
XRZ,SAAVEDRA GENERAL CORNELIO DE,205,GENERAL DEHEZA,CORDOBA,LUN A VIE 09.00 A 16.00
ORV,PELLEGRINI CARLOS,200,GENERAL LEVALLE,CORDOBA,LUN A VIE 09.00 A 16.00
XCE,AVELLANEDA DOCTOR NICOLAS,403,GENERAL ROCA,CORDOBA,LUN A VIE 08.00 A 13.00
OQD,INDEPENDENCIA,130,ALCIRA GIGENA,CORDOBA,LUN A VIE 09.00 A 16.00
OAC,CORRIENTES,297,GUATIMOZIN,CORDOBA,LUN A VIE 09.00 A 13.00
OSX,SAN MARTIN,0,BUCHARDO,CORDOBA,LUN A VIE 09.00 A 16.00
OSZ,SAN LUIS,26,HUINCA RENANCO,CORDOBA,LUN A VIE 09.00 A 16.00
XBL,SARMIENTO PRESIDENTE DOMINGO FAUSTINO,485,IDIAZABAL,CORDOBA,LUN A VIE 08.00 A 13.00
XCC,MORENO DOCTOR MARIANO,102,INRIVILLE,CORDOBA,LUN A VIE 09.00 A 16.00
OAU,BELGRANO MANUEL,50,ISLA VERDE,CORDOBA,VIERNES 08.00 A 13.00 / LUN Y MIER 08.00 A 13.00
ORQ,ALEM LEANDRO NICEFORO,202,JOVITA,CORDOBA,LUN A VIE 09.00 A 16.00
XBH,DE MAYO,295,JUSTINIANO POSSE,CORDOBA,LUN A VIE 09.00 A 13.00
XUQ,SAN MARTIN GENERAL JOSE DE,373,JAMES CRAIK,CORDOBA,LUN A VIE 09.00 A 14.00
XPD,SARMIENTO,462,LA CRUZ,CORDOBA,LUN A VIE 08.00 A 13.00
XRJ,FERNANDEZ,99,LA PLAYOSA,CORDOBA,LUN A VIE 09.00 A 16.00
OAY,PAZ GENERAL,1,LA CARLOTA,CORDOBA,LUN A VIE 09.00 A 16.00
OAQ,CASTRO BARROS PEDRO IGNACIO,494,LABORDE,CORDOBA,LUN A VIE 09.00 A 16.00
ORJ,INDEPENDENCIA,266,LABOULAYE,CORDOBA,LUN A VIE 09.00 A 16.00
XRW,RIVADAVIA BERNARDINO,751,LAS PERDICES,CORDOBA,LUN A VIE 08.00 A 13.00
XCF,INFANTES RAMON,495,LEONES,CORDOBA,LUN A VIE 09.00 A 16.00
XBZ,GARZON GOBERNADOR,598,LOS SURGENTES,CORDOBA,LUN A VIE 08.00 A 13.00
OQO,DON BOSCO,330,LOS CONDORES,CORDOBA,LUN A VIE 08.00 A 13.00
OTD,MENDOZA,301,MATTALDI,CORDOBA,LUN A VIE 08.00 A 13.00
XCD,RIVADAVIA,462,MONTE BUEY,CORDOBA,LUN A VIE 09.00 A 16.00
OAS,CORDOBA,1428,MONTE MAIZ,CORDOBA,LUN A VIE 09.00 A 15.00
XBW,PAZ GENERAL,248,MORRISON,CORDOBA,LUN A VIE 08.00 A 13.00
XBR,1,25,NOETINGER,CORDOBA,LUN A VIE 09.00 A 16.00
XUL,CASEROS,297,OLIVA,CORDOBA,LUN A VIE 09.00 A 16.00
XBJ,5,250,ORDOÑEZ,CORDOBA,VIERNES 08.00 A 13.00 / LUN Y MIER 08.00 A 13.00
XLK,PERON PRESIDENTE JUAN DOMINGO,201,SAN AGUSTIN,CORDOBA,LUN A VIE 08.00 A 13.00
OQU,9 DE JULIO,405,SAMPACHO,CORDOBA,LUN A VIE 09.00 A 16.00
ORA,CORDOBA,45,SAN BASILIO,CORDOBA,LUN A VIE 08.00 A 13.00
XBU,SAN LORENZO,146,SAN MARCOS SUD,CORDOBA,LUN A VIE 08.00 A 13.00
OAZ,PELLESCHI PEDRO,538,SANTA EUFEMIA,CORDOBA,LUN A VIE 08.00 A 13.00
ORO,JUAN XXIII,350,SERRANO,CORDOBA,LUN A VIE 08.00 A 13.00
XLR,EL NOGAL,170,SANTA ROSA DE CALAMUCHITA,CORDOBA,LUN A VIE 09.00 A 16.00
XSN,MITRE BARTOLOME,1,TANCACHA,CORDOBA,LUN A VIE 09.00 A 16.00
OBB,CORRIENTES,51,UCACHA,CORDOBA,LUN A VIE 09.00 A 16.00
OSD,YDE CARLOS S,630,VICUÑA MACKENNA,CORDOBA,LUN A VIE 09.00 A 16.00
XPG,SANTIAGO DEL ESTERO,106,VILLA DEL DIQUE,CORDOBA,LUN A VIE 09.00 A 16.00
OTE,ESPINOSA MANUEL,300,VILLA HUIDOBRO,CORDOBA,LUN A VIE 09.00 A 16.00
OTC,MANSILLA GENERAL LUCIO VICTORIO,995,VILLA VALERIA,CORDOBA,LUN A VIE 09.00 A 13.00
XLO,SAN MARTIN,164,VILLA GENERAL BELGRANO,CORDOBA,LUN A VIE 09.00 A 16.00
XPI,RIEMANN,599,VILLA RUMIPAL,CORDOBA,LUN A VIE 09.00 A 16.00
OAO,ITALIA,847,WENCESLAO ESCALANTE,CORDOBA,LUN A VIE 09.00 A 13.00
OOZ,DUARTE QUIROS,1400,CORDOBA,CORDOBA,LUN A DOM 10.00 A 22.00
NKH,LAS MERCEDES,6,MENDIOLAZA,CORDOBA,LUN A VIE 08.00 A 15.00
NKJ,CAMINO REAL,2650,SINSACATE,CORDOBA,LUN A VIE 08.00 A 13.00
NKK,BELGRANO DOCTOR MANUEL,0,VILLA DE LAS ROSAS,CORDOBA,LUN A VIE 09.00 A 12.00
YCS,SARMIENTO,490,ABRA PAMPA,JUJUY,LUN A VIE 08.00 A 15.00
YCL,CALLE PUBLICA S N,                              ,EL AGUILAR,JUJUY,LUN A VIE 08.00 A 13.00
YAG,GORRITI JOSE IGNACIO,175,FRAILE PINTADO,JUJUY,LUN A VIE 08.00 A 15.00
YCG,BUENOS AIRES,199,HUMAHUACA,JUJUY,LUN A VIE 08.00 A 15.00
YAS,RECONQUISTA,40,LA MENDIETA,JUJUY,LUN A VIE 08.00 A 15.00
YDE,SARMIENTO,207,LA QUIACA,JUJUY,LUN A VIE 08.00 A 15.00
YAN,BELGRANO MANUEL,495,LIBERTADOR GRAL SAN MARTIN,JUJUY,LUN A VIE 08.00 A 15.00
YBY,BELGRANO MANUEL,301,MAIMARA,JUJUY,LUN A VIE 08.00 A 13.00
YBK,JUJUY,250,MONTERRICO,JUJUY,LUN A VIE 08.00 A 15.00
YBR,SAN MARTIN,299,PERICO,JUJUY,LUN A VIE 08.00 A 15.00
YBF,BELGRANO MANUEL,909,EL CARMEN,JUJUY,LUN A VIE 08.00 A 15.00
YAA,SARMIENTO,280,SAN PEDRO DE JUJUY,JUJUY,LUN A VIE 08.00 A 15.00
YCA,RIVADAVIA BERNARDINO,497,TILCARA,JUJUY,LUN A VIE 08.00 A 15.00
YAR,SARMIENTO,0,YUTO,JUJUY,LUN A VIE 08.00 A 15.00
ZBA,MEXICO,1501,RIO GALLEGOS,SANTA CRUZ,LUN A VIE 08.00 A 14.30
ZAI,IBAÑEZ GREGORIO,374,COMANDANTE LUIS PIEDRABUENA,SANTA CRUZ,LUN A VIE 09.00 A 16.00
GGS,ALBERDI JUAN BAUTISTA,490,GOBERNADOR GREGORES,SANTA CRUZ,LUN A VIE 09.00 A 16.00
UBC,BARRANCAS,201,CAÑADON SECO,SANTA CRUZ,MAR Y JUE 09.00 A 13.00
RZA,BELGRANO DOCTOR MANUEL,131,PUERTO SANTA CRUZ,SANTA CRUZ,LUN A VIE 09.00 A 16.00
ZAD,SAN MARTIN S N,                              ,TRES LAGOS,SANTA CRUZ,LUN A VIE 08.00 A 14.30
ZBG,DE LOS MINEROS,494,RIO TURBIO,SANTA CRUZ,LUN A VIE 09.00 A 17.00
ZBH,PERON TENIENTE GENERAL JUAN DOMINGO,478,28 DE NOVIEMBRE,SANTA CRUZ,LUN A VIE 09.00 A 16.00
UBG,SAN MARTIN,300,LAS HERAS,SANTA CRUZ,LUN A VIE 09.00 A 16.00
UBS,GREGORES GOBERNADOR JUAN MANUEL,19,LOS ANTIGUOS,SANTA CRUZ,LUN A VIE 09.00 A 16.00
PMQ,PERON JUAN DOMINGO,1327,PERITO MORENO,SANTA CRUZ,LUN A VIE 09.00 A 16.00
UHI,MADSEN ANDREA,22,EL CHALTEN,SANTA CRUZ,LUN A VIE 08.00 A 14.30
NOR,KENNEDY PRESIDENTE JOHN FITZGERALD,0,SALTA,SALTA,LUN A VIE 10.00 A 17.00
NOI,PY COMODORO,2000,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 16.00
MIX,VUELTA DE OBLIGADO,2294,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.30 A 18.00 / SAB 10.00 A 14.00
DSP,MORENO,1127,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 17.00
KCH,AYACUCHO,561,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 18.00
ESU,MEDRANO,867,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A SAB 10.00 A 20.00
NLU,DE MAYO,747,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 19.00
EZO,LA PAMPA,2821,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 16.30 / SAB 10.00 A 13.30
EQE,CORRIENTES,535,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 18.00
JJL,SAN MARTIN,524,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A SAB 09.00 A 19.00
ILG,DE MAYO,1181,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 21.00 / SAB 09.00 A 14.00
NIX,CORDOBA,543,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 19.00
LNP,RIOBAMBA,994,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
ERC,PERU,628,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A SAB 10.00 A 20.00
LWY,IRIGOYEN DOCTOR BERNARDO DE,1538,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.30 A 18.00 / SAB 10.30 A 12.30
ETC,CORRIENTES,4577,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A SAB 09.00 A 17.00
EWM,BEIRO FRANCISCO,4344,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
LFJ,PUEYRREDON DOCTOR HONORIO,1923,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 08.00 A 17.00
MJL,SANABRIA,2699,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 08.30 A 18.30 / SAB 09.00 A 13.00
MKQ,PEDERNERA,147,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 17.30
LFT,MAIPU,1790,FLORIDA,BUENOS AIRES,LUN A SAB 08.30 A 20.30
HJI,SARRATEA MANUEL DE,388,MORON,BUENOS AIRES,LUN A VIE 09.00 A 13.00 / LUN A VIE 15.30 A 20.00 / SAB 09.30 A 13.30
KAP,25 DE MAYO,1960,LANUS OESTE,BUENOS AIRES,LUN A VIE 11.00 A 16.30
NON,MITRE BARTOLOME,1452,FLORIDA OESTE,BUENOS AIRES,LUN A VIE 08.00 A 19.00
NSE,DE MAYO,1501,VILLA ADELINA,BUENOS AIRES,LUN A VIE 15.00 A 19.00 / LUN A VIE 09.30 A 13.00 / SAB 09.30 A 13.00
NSJ,KIRCHNER PRESIDENTE DOCTOR NESTOR CARLOS,21614,ITUZAINGO,BUENOS AIRES,LUN A SAB 08.30 A 19.00
DYG,AGUERO INTENDENTE,1807,MORON,BUENOS AIRES,LUN A SAB 10.00 A 20.00
FEM,MURGUIONDO,3840,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 15.00
BLB,ZAPIOLA,2025,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00 / SAB 10.00 A 13.00
NTG,ALBARELLOS,2830,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 18.00
NOW,SUPERI,1450,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 12.00 / LUN A VIE 15.00 A 18.00
NOU,CASTRO EMILIO,6695,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A SAB 08.00 A 21.00
NOV,PERON EVA,4726,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A SAB 08.00 A 17.00
LXK,BOCAYUVA QUINTINO,22,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 18.00 / SAB 09.30 A 13.30
NOX,MONTEVIDEO,778,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 18.00
DDO,GELLY Y OBES GENERAL JUAN ANDRES,502,VILLA SARMIENTO,BUENOS AIRES,LUN A VIE 08.00 A 19.00 / SAB 09.00 A 12.30
MFR,UGARTE GOBERNADOR MARCELINO,2404,OLIVOS,BUENOS AIRES,LUN A VIE 09.30 A 18.00
DRD,LAPRIDA FRANCISCO NARCISO DE,4202,VILLA MARTELLI,BUENOS AIRES,LUN A VIE 08.00 A 18.00
MVQ,CORDOBA,2306,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 08.30 A 18.00
EZR,LARRALDE CRISOLOGO,2889,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 07.30 A 20.00 / SAB 09.00 A 13.00
NPM,DIRECTORIO,3408,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 08.00 A 19.00
NPN,GAONA,3593,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 07.00 A 18.30
NPO,MONTIEL,266,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 17.00 / SAB 09.00 A 11.30
NPP,RIVADAVIA,3931,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A SAB 08.00 A 19.00
NPQ,AMBROSETTI JUAN B,815,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A SAB 09.00 A 18.00
NPR,ARTIGAS GENERAL JOSE GERVASIO,4845,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 13.00 / LUN A VIE 17.00 A 19.00
NPT,SANTA FE,1685,MARTINEZ,BUENOS AIRES,LUN A VIE 08.30 A 19.30
NPV,AQUINO,5986,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 17.00 / SAB 09.00 A 12.00
NPW,NOGOYA,3116,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 19.00
NPX,NAZCA,4078,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 18.30
NPY,ALVAREZ JONTE,3051,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 17.30
NQA,MONTES DE OCA MANUEL,803,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 08.00 A 18.00 / SAB 10.00 A 13.00
NQB,VELEZ SARSFIELD DOCTOR DALMACIO,5501,MUNRO,BUENOS AIRES,LUN A VIE 08.30 A 20.00
NQK,ROMA,3147,ISIDRO CASANOVA,BUENOS AIRES,LUN A VIE 09.30 A 17.30 / SAB 10.00 A 12.00
NQM,SANTA ROSA,2403,CASTELAR,BUENOS AIRES,LUN A VIE 10.00 A 18.00 / SAB 10.00 A 13.30
NQY,CASTEX PROFESOR DOCTOR MARIANO,920,CANNING,BUENOS AIRES,LUN A VIE 09.00 A 18.00 / SAB 10.00 A 13.00
NQX,ALEM LEANDRO NICEFORO,1700,BANFIELD,BUENOS AIRES,LUN A VIE 08.00 A 18.30 / SAB 09.00 A 13.00
NQZ,ALSINA DOCTOR ADOLFO,308,BURZACO,BUENOS AIRES,LUN A VIE 16.00 A 20.00 / LUN A VIE 10.30 A 13.30 / SAB 10.30 A 12.00
FEA,QUINDIMIL INTENDENTE MANUEL,507,LANUS OESTE,BUENOS AIRES,LUN A VIE 08.00 A 20.00
NQU,9 DE JULIO,1852,LANUS ESTE,BUENOS AIRES,LUN A VIE 11.30 A 17.00
GVV,ESPORA CORONEL DE MARINA TOMAS,96,ADROGUE,BUENOS AIRES,LUN A VIE 09.00 A 19.30 / SAB 09.00 A 13.00
#N/A,ALBERDI JUAN BAUTISTA,3177,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
#N/A,ARREDONDO VIRREY,2959,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 19.30
#N/A,73,919,SAN LORENZO,BUENOS AIRES,LUN A SAB 09.00 A 16.00
#N/A,GUIÑAZU ALCIDES,450,LUJAN DE CUYO,MENDOZA,LUN A VIE 07.00 A 18.00
#N/A,SEGUI ALMIRANTE FRANCISCO JOSE,880,ADROGUE,BUENOS AIRES,LUN A VIE 10.00 A 18.00
#N/A,BERUTI ANTONIO LUIS,1248,BANFIELD,BUENOS AIRES,LUN A VIE 08.00 A 18.00
#N/A,LOS QUILMES,1938,BERNAL OESTE,BUENOS AIRES,LUN A VIE 10.00 A 18.00
#N/A,ESCALADA DE SAN MARTIN REMEDIOS,723,CLAYPOLE,BUENOS AIRES,LUN A VIE 10.00 A 18.00
#N/A,ROSETTI MECANICO,736,EL PALOMAR,BUENOS AIRES,LUN A VIE 07.00 A 19.00
#N/A,GAGGINO GILBERTO,613,ENSENADA,BUENOS AIRES,LUN A SAB 09.00 A 16.00
#N/A,MITRE BARTOLOME,69,FLORENCIO VARELA,BUENOS AIRES,LUN A VIE 10.00 A 18.00
